label_1,label_2,label_3
55,123,0
44,105,1
15,44,2
42,101,3
15,45,4
15,45,5
34,86,6
20,55,7
11,23,8
28,71,9
43,103,10
13,38,11
27,68,12
15,41,13
3,4,14
26,64,15
27,67,16
46,110,17
2,3,18
15,47,19
46,110,20
11,17,21
36,89,22
58,127,23
45,107,24
32,81,25
11,23,26
41,100,27
12,37,28
10,15,29
15,49,30
37,90,31
2,2,32
11,24,33
12,36,34
15,45,35
24,62,36
10,15,37
11,32,38
52,119,39
15,50,40
45,107,41
7,11,42
41,99,43
11,16,44
30,76,45
23,61,46
6,10,47
15,48,48
15,43,49
15,50,50
3,4,51
11,20,52
50,115,53
42,101,54
30,76,55
11,18,56
32,83,57
11,29,58
15,43,59
15,43,60
4,7,61
27,68,62
1,1,63
40,96,64
45,108,65
11,30,66
13,39,67
41,99,68
3,4,69
14,40,70
32,79,71
49,113,72
15,43,73
38,92,74
30,74,75
15,45,76
11,25,77
9,13,78
48,112,79
56,124,80
11,26,81
48,112,82
28,70,83
44,106,84
33,85,85
3,5,86
56,124,87
15,47,88
32,80,89
15,48,90
52,120,91
7,11,92
11,20,93
37,90,94
2,2,95
32,80,96
11,26,97
21,59,98
8,12,99
47,111,100
11,24,101
45,107,102
36,88,103
39,94,104
25,63,105
11,33,106
24,62,107
42,102,108
11,25,109
11,26,110
50,115,111
12,36,112
32,80,113
28,70,114
55,123,115
16,51,116
58,127,117
11,24,118
15,45,119
14,40,120
21,56,121
15,46,122
20,55,123
15,44,124
11,28,125
11,28,126
1,1,127
15,47,128
58,127,129
56,124,130
56,124,131
27,67,132
11,19,133
28,71,134
11,27,135
28,72,136
37,90,137
51,117,138
15,47,139
5,9,140
3,5,141
12,35,142
39,95,143
4,8,144
3,4,145
26,64,146
35,87,147
37,91,148
2,3,149
4,7,150
12,36,151
50,115,152
19,54,153
9,14,154
11,29,155
28,70,156
34,86,157
29,73,158
11,24,159
27,66,160
11,24,161
4,6,162
58,127,163
21,59,164
15,44,165
57,126,166
40,97,167
3,5,168
42,102,169
9,13,170
15,47,171
28,71,172
11,25,173
21,56,174
13,38,175
18,53,176
33,84,177
27,69,178
5,9,179
17,52,180
10,15,181
11,22,182
31,78,183
20,55,184
33,84,185
41,100,186
30,74,187
11,27,188
0,0,189
15,47,190
11,26,191
2,2,192
2,2,193
0,0,194
21,57,195
27,68,196
54,122,197
54,122,198
40,96,199
11,21,200
54,122,201
15,45,202
47,111,203
27,69,204
32,79,205
11,16,206
12,34,207
31,77,208
36,89,209
32,81,210
11,19,211
40,96,212
11,17,213
15,45,214
15,43,215
15,43,216
41,99,217
36,89,218
21,58,219
11,26,220
11,25,221
15,45,222
15,42,223
5,9,224
45,109,225
44,106,226
35,87,227
15,47,228
32,83,229
15,49,230
15,43,231
11,29,232
11,26,233
2,2,234
15,46,235
52,120,236
6,10,237
57,126,238
38,93,239
21,57,240
36,88,241
57,125,242
39,94,243
34,86,244
15,48,245
2,2,246
37,90,247
40,98,248
0,0,249
33,85,250
11,30,251
39,94,252
12,35,253
49,113,254
32,83,255
15,47,256
34,86,257
11,28,258
36,89,259
11,28,260
30,75,261
2,2,262
11,30,263
15,43,264
43,104,265
33,84,266
57,126,267
11,33,268
32,82,269
15,41,270
39,95,271
40,96,272
15,43,273
34,86,274
51,116,275
32,81,276
51,118,277
11,17,278
11,29,279
11,17,280
27,65,281
55,123,282
32,81,283
31,77,284
22,60,285
30,76,286
53,121,287
38,92,288
45,108,289
27,65,290
40,98,291
9,14,292
11,32,293
47,111,294
11,27,295
40,98,296
0,0,297
21,59,298
11,17,299
4,8,300
15,43,301
40,97,302
15,47,303
15,45,304
6,10,305
25,63,306
46,110,307
11,22,308
14,40,309
13,38,310
40,98,311
15,45,312
32,79,313
43,103,314
50,115,315
27,67,316
21,57,317
11,31,318
0,0,319
19,54,320
15,43,321
28,72,322
31,77,323
8,12,324
11,27,325
13,39,326
32,79,327
28,71,328
40,97,329
32,82,330
15,43,331
17,52,332
15,43,333
44,105,334
11,17,335
11,31,336
51,117,337
46,110,338
35,87,339
57,125,340
11,29,341
4,6,342
11,28,343
32,81,344
48,112,345
27,66,346
15,44,347
1,1,348
35,87,349
11,23,350
21,59,351
43,103,352
14,40,353
51,118,354
52,120,355
43,104,356
24,62,357
50,114,358
12,37,359
15,50,360
15,43,361
38,93,362
12,35,363
11,24,364
23,61,365
22,60,366
56,124,367
16,51,368
11,23,369
11,26,370
11,28,371
21,57,372
37,91,373
45,109,374
47,111,375
57,125,376
2,3,377
44,105,378
15,45,379
15,42,380
28,71,381
51,116,382
43,104,383
11,26,384
32,83,385
58,127,386
50,114,387
11,26,388
32,81,389
53,121,390
11,30,391
46,110,392
11,32,393
27,67,394
11,25,395
15,48,396
15,46,397
11,23,398
21,58,399
12,34,400
15,43,401
52,119,402
38,93,403
18,53,404
15,43,405
45,108,406
6,10,407
11,25,408
12,36,409
31,78,410
48,112,411
30,75,412
7,11,413
21,56,414
11,21,415
51,116,416
31,77,417
15,44,418
15,45,419
11,24,420
11,18,421
15,43,422
11,24,423
32,80,424
11,28,425
15,43,426
29,73,427
20,55,428
57,126,429
11,24,430
15,43,431
37,90,432
52,120,433
0,0,434
0,0,435
22,60,436
35,87,437
38,92,438
15,43,439
37,91,440
11,26,441
7,11,442
11,17,443
5,9,444
11,19,445
